origem,segmento,cnpj,razao_social,nome_fantasia,uf,municipio,situacao,data_situacao,data_inicio,capital_social,cnae_principal,email,ddd1,tel1,socios,score,sinal_grupo_spsav,sinal_site,sinal_nome,sinal_noticias,socio_comum,evidencia_site,evidencia_noticias
SPSAV,SPSAV,61843560000100,ARKHAM MERCADOS BRASIL SOCIEDADE PRESTADORA DE SERVICOS ATIVOS VIRTUAIS LTDA,"",SP,7107,08,20250925,20250721,"1000,00",6619399,CONTATO@GLOBALCS.COM.BR,11,43687800,CAIO VASCONCELOS ARAUJO | ARKHAM HOLDINGS BRASIL LTDA,11,,,,,,,
SPSAV,SPSAV,60483028000159,ASA DIGITAL ASSETS SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250422,20250422,"5000000,00",6619399,FINANCAS@ASA.COM.BR,11,39005236,EDUARDO ROSSIT PADILHA | ALBERTO JOSEPH SAFRA | EDUARDO SOSA FILHO | MAGGY CANDI SAFRA,11,,,,,,,
SPSAV,SPSAV,50153417000162,ATIVO VIRTUAL LTDA,ATIVO VIRTUAL,ES,5705,02,20230330,20230330,"5000,00",6201501,CONTATO@ATIVOVIRTUAL.COM.BR,54,33741186,ALEXANDRE ANTONIO LANA ROSSETO,11,,,,,,,
SPSAV,SPSAV,60723612000134,AUREX PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,AUREX CAPITAL,SP,7107,02,20250507,20250507,"100000,00",6619399,CONTATO@AUREX.CAPITAL,12,92811104,GUSTAVO FERNANDES BONANI | SALIS GROUP PARTICIPACOES LTDA | HENRIQUE FRANCIOSI SAAVEDRA,11,,,,,,,
SPSAV,SPSAV,55644044000146,AURIX SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,AURIX DIGITAL ASSETS - SPSAV,SP,6213,02,20240624,20240624,"100000,00",8211300,STARKCORP.MAIN@GMAIL.COM,61,99082660,ALEXANDER BRAGA,11,,,,,,,
SPSAV,SPSAV,58757692000105,AURUM NEXUS PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250110,20250110,"30000,00",6203100,MARIALUIZA.SANTOS@ILMGROUP.COM.BR,11,31429789,MARIA LUIZA ALVES VIEIRA SANTOS | RBR INTERNATIONAL INVESTMENT L.L.C,11,,,,,,,
SPSAV,SPSAV,50224164000170,AVENIA SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20230405,20230405,"16800000,00",6619399,HFARDIN@BRLA.DIGITAL,11,37770742,MATHEUS HENRIQUE ALVES MOURA | LUIZ CASTELO BRANCO CAVALCANTE | HECTOR SELVATICE FARDIN | LEANDRO DE OLIVEIRA NOEL RIBEIRO | LUCAS GIORGIO ROSTWOROWSKI | AVENIA PARTICIPACOES LTDA | ERIC BASTOS COSTA MACHADO | CAIO CORREA LIMA EL YANES,11,,,,,,,
SPSAV,SPSAV,55063975000150,AVOI SOCIEDADE PRESTADORA DE  SERVICOS DE ATIVOS VIRTUAIS LTDA,AVOI,RJ,6001,02,20240509,20240509,"15000000,00",6499999,CONTATO@AVOI.COM.BR,48,88785792,HECTOR MAURICIO GARCIA | SALOMON SALDARRIAGA OSORIO | ENZO MENDES MONTOYA LAZO,11,,,,,,,
SPSAV,SPSAV,61863834000115,AXIOMA SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LIMITADA,"",PB,1981,02,20250722,20250722,"50000,00",7490104,OSVALDOARRAIS@GMAIL.COM,83,93162250,OSVALDO TIAGO ARRAIS,11,,,,,,,
SPSAV,SPSAV,41778759000187,BA GLOBAL DIGITAL SOLUTIONS - SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,BA GLOBAL DIGITAL SOLUTIONS,SC,8179,02,20210430,20210430,"100000,00",6619399,CONTATO@BAGLOBAL.COM.BR,61,96958400,RHUAN PARENTE MACEDO BUCAR NUNES | MAJD EL CHARITI AISSAMI,11,,,,,,,
SPSAV,SPSAV,64206564000168,BASELAYER ATIVOS VIRTUAIS LTDA,BASELAYER,SP,7107,02,20251230,20251230,"10000,00",6619399,COMPLIANCE@BASE-L.TECH,11,99999999,PAYTRIUM DIGITAL HOLDING LIMITED | DIEGO MESSIAS DE SOUZA,11,,,,,,,
SPSAV,SPSAV,68627500000191,BBRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20260811,20260811,"1000,00",6619399,LEGALBRAZIL@BINANCE.COM,11,32182622,NELSON RICARDO SOARES DO AMARAL LEITE | WELLINGTON PARTICIPACOES LTDA,11,,,,,,,
SPSAV,SPSAV,60441260000124,BC ACCESS BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250416,20250416,"200,00",6619399,CONTROLEREPLEGAL@GMAIL.COM,11,23646892,"BLOCKCHAIN.COM GROUP HOLDINGS, INC. | CESAR MADEIRA PADOVESI | FABRIZIO SPADA",11,,,,,,,
SPSAV,SPSAV,63649282000172,BITCAIXA SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20251113,20251113,"3000,00",6619399,VICTOR@COOPERA.FINANCE,11,99999999,VICTOR ROBERT CUNHA | AARON WILLIAM STANLEY | CLAUDIO STAUB,11,,,,,,,
SPSAV,SPSAV,62415233000102,BITHOPE SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA.,"",PR,7635,02,20250826,20250826,"1500000,00",6619399,CONTABILIDADE@BITHOPE.COM.BR,43,96371008,RAFAEL SABINO DE OLIVEIRA,11,,,,,,,
SPSAV,SPSAV,51802405000184,BITSO SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20230814,20230814,"100000,00",6619399,CONTATO@BHUB.AI,11,99999999,BADGER BRASIL TECHNOLOGY HOLDING LTDA | NICOLAS ALONSO ESCOBAR,11,,,,,,,
SPSAV,SPSAV,57599376000181,BLIND PAY SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",ES,5705,02,20241008,20241008,"18400000,00",6619399,PAULO@BLINDPAY.COM,27,95222064,BLIND PAY HOLDING LTDA | BERNARDO SIMONASSI MOURA | JOAO CARLOS SALES BORGES JUNIOR | GUSTAVO MARINHO CERQUEIRA SOUSA,11,,,,,,,
SPSAV,SPSAV,32113577000104,BLOCKRIVER SOCIEDADE  PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS S/A,"",RJ,6001,02,20181127,20181127,"17400000,00",6499999,SEUCNPJ@NUCONASSESSORIA.COM.BR,21,30902068,ISABELA DE ABREU LISBOA DE ALMEIDA | LUCIANO TRUZZI | PAULO DE MATOS JUNIOR | FERNANDO CELSO ZANATTA EDUARTE DE SOUZA,11,,,,,,,
SPSAV,SPSAV,54473288000140,BLOXTRADE CAPITAL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7071,02,20240326,20240326,"1100000,00",6619399,LEGALIZACAO@MARKACONTABIL.COM.BR,13,32211155,ALESSANDRO GIOVANNI BIANCHI | DIEGO ANDRE MARTINS | KAIO SINIGOI GOMES,11,,,,,,,
SPSAV,SPSAV,11873099000152,BP SERVICOS ADMINISTRATIVOS VIRTUAIS LTDA,E@SY,PE,2531,02,20100415,20100415,"4000,00",8219999,"",81,32224350,TIZIANA JORDA SEVERI DE FREITAS | PIETRO SEVERI DE FREITAS | ISABELA SEVERI DE FREITAS,11,,,,,,,
SPSAV,SPSAV,62920001000101,BRD DIGITAL PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS S.A.,BRD CAPITAL,RJ,6001,02,20250926,20250926,"2318550,00",7490104,CONSULTORIA@GOLDCONSULTORIA.COM.BR,21,35493427,DANIEL SIVIERI ARRUDA | GUSTAVO TEDESCHI DE FARIA | LUCA MACHADO BOTTINO,11,,,,,,,
SPSAV,SPSAV,62450774000171,BREY ATIVOS VIRTUAIS LTDA,"",PR,7535,02,20250828,20250828,"1000,00",7490104,LESSAJUNIOR@LESSAJUNIOR.COM.BR,41,96427287,EDUARDO LOMBARDI MACEIRA | FELIPE ROBERTO WERKA | HENRIQUE RODRIGUES FORYTA,11,,,,,,,
SPSAV,SPSAV,32713557000166,BRFENIX GESTAO DE ATIVOS VIRTUAIS LTDA,"",AC,0139,02,20190208,20190208,"50000,00",7490104,PROCESSO@METAREAL-ES.COM.BR,27,30801969,PLAUTO NOGUEIRA DE MELO | VALDERLENE DE OLIVEIRA ROSAS,11,,,,,,,
SPSAV,SPSAV,48452053000170,BROKER BTC PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,BROKER BTC,RN,1759,02,20221028,20221028,"50000,00",6619399,ATENDIMENTO@MACTOCONTABILIDADE.COM.BR,84,91731653,HIAGO VASCONCELOS LOBO,11,,,,,,,
SPSAV,SPSAV,12541463000140,BTCBOX SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,ARCA ECO,SP,2951,02,20100908,20100908,"1000000,00",6619399,SA_SERVCONT@YAHOO.COM.BR,19,74074995,FREDERICO SILVEIRA DA MOTA | MARCIO RODRIGO ROSA,11,,,,,,,
SPSAV,SPSAV,63732836000109,BTGT BRASIL SOCIEDADE  PRESTADORA DE SERVICOS DE  ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20251119,20251119,"270000,00",6201501,CONTATO@GLOBALCS.COM.BR,11,43687800,CAIO VASCONCELOS ARAUJO | BTGT HOLDINGS LIMITED,11,,,,,,,
SPSAV,SPSAV,66739170000109,BYBIT BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20260507,20260507,"100000,00",6619399,BYBIT@IL-MANAGEMENT.COM.BR,11,31429789,CLAUDIA FANTINI | BYBIT PARTICIPACOES LTDA,11,,,,,,,
SPSAV,SPSAV,35491577000128,BYBIT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20191112,20191112,"968223,00",6619399,BYBIT@IL-MANAGEMENT.COM.BR,11,31429789,BYBIT TECHNOLOGY LIMITED | CLAUDIA FANTINI,11,,,,,,,
SPSAV,SPSAV,51039021000151,CADEMARTORI Z SOCIEDADE  PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,CADEMARTORI Z SOLUCOES,RJ,6001,02,20230614,20230614,"15000000,00",6619399,CADEMARTORIZS1@GMAIL.COM,55,99936611,CARLOS EDUARDO CADEMARTORI SEVERO ZAMUDIO | EDUARDO GIOVANI GARCIA | MATHEUS DA SILVA D AVILA | BRUNO RODRIGUES DIAS,11,,,,,,,
SPSAV,SPSAV,63526006000117,CAPITAL BITCOIN PROVEDOR DE SERVICOS DE ATIVOS VIRTUAIS LTDA,CAPITAL BITCOIN,DF,9701,02,20251105,20251105,"100000,00",6619399,DANYELLAPEREIRAA@GMAIL.COM,84,98544267,DANYELLA PEREIRA COSTA DE ARAUJO,11,,,,,,,
SPSAV,SPSAV,41429692000175,CARBONO ZERO SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20210401,20210401,"25000,00",7020400,SERVICOSCOOPERA@GMAIL.COM,11,35001373,VICTOR ROBERT CUNHA,11,,,,,,,
SPSAV,SPSAV,63212923000127,CBS PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,CBS PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS,SP,7107,02,20251015,20251015,"200000,00",7490104,CARLOS.EDUARDONEGOCIOS17@GMAIL.COM,11,85409409,CARLOS EDUARDO BRAZILINO DOS SANTOS,11,,,,,,,
SPSAV,SPSAV,68837035000113,CIRCLE DO BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20260826,20260826,"1000,00",6619399,CONTROLEREPLEGAL@GMAIL.COM,11,23646892,CESAR MADEIRA PADOVESI | VITOR FERNANDO LIMA CORREA | CIRCLE DO BRASIL HOLDINGS LTDA,11,,,,,,,
SPSAV,SPSAV,22268814000144,COINBASE BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20150416,20150416,"23175165,00",6619399,LEGAL.COINBASE@MOURAOCAMPOS.COM.BR,11,31711616,"COINBASE GLOBAL, INC. | FABIO TONETTO PLEIN | RENAN CRUVINEL DE OLIVEIRA | RICARDO DE BARROS SCHNEPFLEITNER PETERSEN | LOURENCO BORGES BERTHIER BRASIL | ALINE DE FATIMA PEREIRA",11,,,,,,,
SPSAV,SPSAV,29242868000180,COINEXT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS S.A,COINEXT,MG,4123,02,20171211,20171211,"3834396,00",6619399,JURIDICO@COINEXT.COM.BR,11,42809651,JOSE ARTUR OLIVEIRA RIBEIRO | ALEXANDRE GANDRA LAGES,11,,,,,,,
SPSAV,SPSAV,25201916000130,COMERCIO DE BRINQUEDOS E ARTIGOS RECREATIVOS VIRTUAIS ARES GAMES EIRELI,ARES GAMES,DF,9701,08,20200423,20160713,"104500,00",4763601,eversavioneves@hotmail.com,61,34793594,EVER SAVIO NEVES,11,,,,,,,
SPSAV,SPSAV,09523978000102,CONVERGE SERVICOS CORPORATIVOS VIRTUAIS LTDA,CONVERGE COWORKING,CE,1389,02,20020817,19901214,"30000,00",8211300,COWORKING@TORRENS.COM.BR,85,99821611,RAFAEL LEITE TORRENS | ADRIANO BEZERRA BARROSO,11,,,,,,,
SPSAV,SPSAV,52006135000168,CROSS SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,CROSS INTERMEDIACAO,DF,9701,02,20230830,20230830,"12400000,00",6619399,SEUCNPJ@GMAIL.COM,41,96248860,KIRSCHNER PINHEIRO KLAVA | KRISTOPHER PINHEIRO KLAVA | MATHEUS LUIZ PUPPE MAGALHAES | KEVYN PINHEIRO KLAVA | LUDMILA MOTTI FILIZOLA,11,,,,,,,
SPSAV,SPSAV,59386340000145,CROWN SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250210,20250210,"50634350,00",6619399,JRDELANEY@GMAIL.COM,11,63269940,JOHN RICHARD DELANEY | VINICIUS CORREA | BRUNO LEONARDO KMITA DE OLIVEIRA PASSOS | CROWN HOLDING FINANCEIRA LTDA,11,,,,,,,
SPSAV,SPSAV,60425036000149,CVS ATIVOS VIRTUAIS LTDA,CVS ATIVOS VIRTUAIS,SP,7107,02,20250415,20250415,"10000,00",7490104,CLEOF.MASTER@CVSATIVOSVIRTUAIS.COM.BR,11,99935701,CLEONICE VIEIRA DE SOUZA,11,,,,,,,
SPSAV,SPSAV,61469681000126,D.A. SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250626,20250626,"1000000,00",6499999,CONTROLEREPLEGAL@GMAIL.COM,11,23646892,CESAR MADEIRA PADOVESI | ATLAS BRASIL HOLDING FINANCEIRA LTDA,11,,,,,,,
SPSAV,SPSAV,33967103000184,DEMERGE BRASIL PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS E PAGAMENTOS LTDA,"",SP,7107,02,20190618,20190618,"150000,00",7490104,SAC@DLOCAL.COM,11,55550910,DLOCAL PTE. LTD. | DLOCAL MARKETS LIMITED | MARCELO URI LOPEZ KATZKOWICH | DENISE YAEL ROIZNER APFELBAUM,11,,,,,,,
SPSAV,SPSAV,62058634000152,EL DORADO BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,08,20260327,20250804,"3000000,00",6619399,CONTATO@GLOBALCS.COM.BR,11,43687800,"CAIO VASCONCELOS ARAUJO | EL DORADO LABS,LLC",11,,,,,,,
SPSAV,SPSAV,28499395000138,ETTICA PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,ETTICA,PR,7535,02,20170802,20170802,"13000000,00",7490104,LUIZGUILHERME@FASTCOM.COM.BR,41,91462073,LUIZ GUILHERME KRAUSE DE SALLES | PAULO ROBERTO DO NASCIMENTO DE MACEDO JUNIOR | ANGELO RODRIGO DE SOUZA | ANDREA APARECIDA RIBEIRO,11,,,,,,,
SPSAV,SPSAV,58887276000113,EVO GATEWAY SOCIEDADE PRESTADORA DE ATIVOS VIRTUAIS LTDA,"",SP,6213,02,20250115,20250115,"1000000,00",7490104,SETUP@KORPAY.COM.BR,11,20550999,ALEXANDRE DOS SANTOS MARQUES | KORPAY SA,11,,,,,,,
SPSAV,SPSAV,33744682000104,F.M. GESTAO DE ATIVOS VIRTUAIS LTDA,JHONNY X MANAGEMENT,PR,7535,02,20190528,20190528,"100000,00",7490104,ANDREANNONI@HOTMAIL.COM,41,96345714,ANDRE ANNONI MARTINS,11,,,,,,,
SPSAV,SPSAV,63190445000100,FIDUCIAE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",PR,7535,08,20251105,20251014,"20000,00",7490104,RODRIGO.TOZIN@HOTMAIL.COM,41,91851800,RODRIGO CAVALCANTI DE ALBUQUERQUE TOZIN,11,,,,,,,
SPSAV,SPSAV,60773680000108,FINBLOOM BRASIL PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250512,20250512,"3000000,00",6462000,CVASCONCELOS@GLOBALCS.COM.BR,11,43687800,CAIO VASCONCELOS ARAUJO | GUAVAPAY LIMITED,11,,,,,,,
SPSAV,SPSAV,62873133000120,FIREBIT DIGITAL ASSETS - SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",MG,4895,02,20250924,20250924,"500000,00",7490104,FISCAL@CSCGRUPO.COM,31,33016118,NICKOLAS TADEU RIBEIRO DE CAMPOS | CACTUS FINANCIAL SERVICES LTDA,11,,,,,,,
SPSAV,SPSAV,24536770000111,FLGE SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20250124,20160405,"35000000,00",7490104,RMB@MNADV.COM.BR,11,55021200,MAURICIO CAVIGLIA | FELIPE MANCUSI CAVIGLIA | EDUARDO MANCUSI CAVIGLIA,11,,,,,,,
SPSAV,SPSAV,66760664000167,FLOWBRIDGE DIGITAL SERVICOS DE ATIVOS VIRTUAIS LTDA,FLOWBRIDGE DIGITAL,RJ,6001,02,20260511,20260511,"100000,00",6619399,DANIEL@RWTCI.COM,21,37607086,DANIEL MENEZES PEREIRA,11,,,,,,,
SPSAV,SPSAV,18997925000203,FOXBIT OTC SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,FOXBIT INVEST,SP,6311,02,20230614,20230614,"2000,00",7490104,JURIDICO@FOXBIT.COM.BR,11,31978557,FOXBIT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA | JOAO VINICIUS BERTI CANHADA | FOXBIT LLC | FELIPE TROVAO DE SA | RICARDO DANTAS TAKAYAGUI | ARTUR FERRAZ MARTINS,11,,,,,,,
SPSAV,SPSAV,21246584000150,FOXBIT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20141016,20141016,"37905826,00",7490104,JURIDICO@FOXBIT.COM.BR,11,31978557,JOAO VINICIUS BERTI CANHADA | RICARDO DANTAS TAKAYAGUI | FOXBIT LLC | ARTUR FERRAZ MARTINS,11,,,,,,,
SPSAV,SPSAV,15651522000120,FRUTTO MARKETING CORPORATIVO VIRTUAL LTDA,FRUTTO MARKETING CORPORATIVO,SC,8335,04,20180828,20120529,"10000,00",8299799,contbecker@terra.com.br,48,36570090,FERNANDO MARTINS | FLAVIO ZANELATTO,11,,,,,,,
SPSAV,SPSAV,62850442000184,GABRIELLO SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,GABRIELLO INTERMEDIACAO,SP,6213,08,20260207,20250923,"10000,00",6619399,GABRIELLA@GALTCONTABIL.COM.BR,11,52833800,GUILHERME AUGUSTO CAVALLARO ZAMUR | MAGA INVESTIMENTOS E PARTICIPACOES LTDA,11,,,,,,,
SPSAV,SPSAV,46532664000100,GATE SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA.,"",SP,7107,02,20220525,20220525,"500000,00",6499999,CONTROLEREPLEGAL@GMAIL.COM,11,23646892,LIN HAN | CAIO VASCONCELOS ARAUJO | GATE  INFORMATION HOLDING LTDA,11,,,,,,,
SPSAV,SPSAV,52137227000187,GE & GI - APOIO ADMINISTRATIVO VIRTUAL LTDA,"",RJ,6001,08,20240925,20230911,"5000,00",8219999,JAFFE@JAFFE.COM.BR,21,21868607,GEORGE JAFFE | GILBERTO JAFFE,11,,,,,,,
SPSAV,SPSAV,30359852000130,GOMONEY PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,GOMONEY,SP,7107,02,20180503,20180503,"500000,00",6619399,CONTACT@GOMONEY.ME,11,44501422,MAURICIO LOPES PIRES | EDUARDO DA SILVA AUGUST | SUSANA LOPES PIRES,11,,,,,,,
SPSAV,SPSAV,68234708000140,ICICLE CROSS BR SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20260723,20260723,"10000,00",6619399,CONTROLERMPLEGAL@HOTMAIL.COM,11,23646892,CESAR MADEIRA PADOVESI | BIRD 5 HOLDING LIMITED | VITOR FERNANDO LIMA CORREA,11,,,,,,,
SPSAV,SPSAV,59799474000198,IKKB BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE  ATIVOS VIRTUAIS LTDA.,NEXOS GLOBAL,SP,7107,02,20250308,20250308,"1000,00",6499999,MEUCNPJ@CONTABILIZEI.COM.BR,41,97880145,EDWARD KONIG | RAFAEL NISSIM KATALAN | IKKB DELAWARE LLC | HENRIQUE AGOSTINHO SCHILDER LIMA,11,,,,,,,
SPSAV,SPSAV,55068588000107,INFINITE ATIVOS VIRTUAIS LTDA,INFINITE ATIVOS VIRTUAIS,SP,7107,02,20240509,20240509,"10000,00",6619399,SUPORTE@INFINITEATIVOSVIRTUAIS.COM.BR,11,69525177,ELOI DECOL,11,,,,,,,
SPSAV,SPSAV,60442459000177,INTER DIGITAL ASSETS - SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",MG,4123,02,20250416,20250416,"6000000,00",7490104,"",31,30034070,"MARCELO DANTAS DE CARVALHO | INTER & CO, INC. | TIAGO DE ALMEIDA MACHADO | MARLOS FRANCISCO DE SOUZA ARAUJO | MARCO TULIO GUIMARAES",11,,,,,,,
SPSAV,SPSAV,64820101000191,ISTI3 SOCIEDADE PRESTADORA DE ATIVOS VIRTUAIS LTDA,ISTI3 SOCIEDADE PRESTADORA DE ATIVOS VIRTUAIS,ES,5705,02,20260130,20260130,"11000000,00",6619399,EXCHANGE@VASPISTI3.COM,11,92006000,ANGELA CRISTINA RIBEIRO DE OLIVEIRA | GUILHERME AUGUSTO MOTA ALVES,11,,,,,,,
SPSAV,SPSAV,65524917000130,ISTI3 SOCIEDADE PRESTADORA DE ATIVOS VIRTUAIS LTDA,ISTI3 SOCIEDADE PRESTADORA DE ATIVOS VIRTUAIS,SP,6213,02,20260202,20260202,"11000000,00",6619399,EXCHANGE@VASPISTI3.COM,61,96786275,ANGELA CRISTINA RIBEIRO DE OLIVEIRA | GUILHERME AUGUSTO MOTA ALVES,11,,,,,,,
